City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,78.03,70,3,13.27,PF,2022-04-17 18:11:03
1,Yellowknife,62.456,-114.3525,12.56,47,68,10.0,CA,2022-04-17 18:11:03
2,Torbay,47.6666,-52.7314,49.28,92,100,29.93,CA,2022-04-17 18:11:03
3,Dahod,22.8333,74.2667,84.94,25,0,10.22,IN,2022-04-17 18:11:04
4,Kahului,20.8947,-156.47,77.02,72,20,13.8,US,2022-04-17 18:11:04
5,Mahebourg,-20.4081,57.7,77.29,100,40,3.44,MU,2022-04-17 18:11:04
6,Puerto Ayora,-0.7393,-90.3518,78.76,84,84,9.8,EC,2022-04-17 18:11:05
7,Nikolskoye,59.7035,30.7861,39.09,76,78,3.71,RU,2022-04-17 18:11:05
8,Kloulklubed,7.0419,134.2556,73.9,71,86,2.06,PW,2022-04-17 18:11:06
9,Bathsheba,13.2167,-59.5167,81.07,70,80,18.34,BB,2022-04-17 18:11:06
10,Katsuura,35.1333,140.3,58.82,72,81,8.43,JP,2022-04-17 18:11:06
11,Carbonia,39.1672,8.5222,61.45,51,0,7.45,IT,2022-04-17 18:11:07
12,Atuona,-9.8,-139.0333,79.38,80,39,18.21,PF,2022-04-17 18:08:28
13,Fortuna,40.5982,-124.1573,54.93,68,0,3.0,US,2022-04-17 18:11:07
14,Mataura,-46.1927,168.8643,36.48,96,0,2.17,NZ,2022-04-17 18:11:07
15,Goderich,43.7501,-81.7165,37.9,69,65,14.97,CA,2022-04-17 18:11:08
16,Lorengau,-2.0226,147.2712,81.21,81,75,6.8,PG,2022-04-17 18:11:08
17,Nome,64.5011,-165.4064,29.16,93,100,18.41,US,2022-04-17 18:11:09
18,Port Elizabeth,-33.918,25.5701,64.31,99,20,9.22,ZA,2022-04-17 18:11:09
19,Vaini,-21.2,-175.2,75.36,100,75,2.3,TO,2022-04-17 18:11:09
20,Roebourne,-20.7833,117.1333,84.61,34,38,4.36,AU,2022-04-17 18:11:09
21,Rudsar,37.1376,50.288,55.18,72,8,3.87,IR,2022-04-17 18:08:29
22,Douentza,14.9951,-2.9517,92.21,10,14,13.73,ML,2022-04-17 18:11:10
23,Carnarvon,-24.8667,113.6333,68.07,83,100,12.66,AU,2022-04-17 18:11:10
24,Sabang,5.8933,95.3214,83.3,71,81,5.23,ID,2022-04-17 18:11:11
25,Severo-Kurilsk,50.6789,156.125,28.09,79,36,10.16,RU,2022-04-17 18:08:00
26,Cape Town,-33.9258,18.4232,62.89,81,12,14.0,ZA,2022-04-17 18:10:38
27,Bethel,41.3712,-73.414,48.56,44,100,16.11,US,2022-04-17 18:11:11
28,Albany,42.6001,-73.9662,43.39,59,78,3.0,US,2022-04-17 18:08:32
29,East London,-33.0153,27.9116,63.54,94,0,3.44,ZA,2022-04-17 18:11:12
30,Ushuaia,-54.8,-68.3,46.4,93,100,8.28,AR,2022-04-17 18:06:21
31,Chokurdakh,70.6333,147.9167,-9.42,100,63,3.94,RU,2022-04-17 18:11:12
32,Kenai,60.5544,-151.2583,37.15,79,100,0.0,US,2022-04-17 18:11:13
33,Hobart,-42.8794,147.3294,60.03,81,75,16.11,AU,2022-04-17 18:09:13
34,Channel-Port Aux Basques,47.5702,-59.1367,39.67,99,91,13.58,CA,2022-04-17 18:11:13
35,Talnakh,69.4865,88.3972,6.21,96,100,7.76,RU,2022-04-17 18:11:14
36,San Patricio,28.017,-97.5169,89.69,51,82,15.39,US,2022-04-17 18:11:14
37,Kaitangata,-46.2817,169.8464,42.42,92,4,3.98,NZ,2022-04-17 18:11:15
38,Castro,-24.7911,-50.0119,67.24,51,37,1.19,BR,2022-04-17 18:07:45
39,Lagoa,39.05,-27.9833,57.56,68,17,14.23,PT,2022-04-17 18:11:15
40,Punta Arenas,-53.15,-70.9167,46.51,87,75,5.75,CL,2022-04-17 18:10:08
41,Storsteinnes,69.2408,19.2344,47.05,100,100,5.03,NO,2022-04-17 18:11:15
42,Dikson,73.5069,80.5464,0.21,100,98,9.1,RU,2022-04-17 18:11:16
43,Kunya,12.2233,8.5325,80.1,58,100,23.8,NG,2022-04-17 18:11:16
44,Constitucion,-35.3333,-72.4167,62.1,68,79,4.83,CL,2022-04-17 18:12:16
45,Tasiilaq,65.6145,-37.6368,33.96,99,100,8.57,GL,2022-04-17 18:12:17
46,Lata,40.1629,-8.3327,65.3,66,91,6.6,PT,2022-04-17 18:12:17
47,Bam,29.106,58.357,75.97,28,77,9.17,IR,2022-04-17 18:12:18
48,Lavrentiya,65.5833,-171.0,28.63,97,100,14.52,RU,2022-04-17 18:12:18
49,Port Hedland,-20.3167,118.5667,78.85,83,75,12.66,AU,2022-04-17 18:12:18
50,Jamestown,42.097,-79.2353,39.52,42,75,9.22,US,2022-04-17 18:07:51
51,Bluff,-46.6,168.3333,36.81,84,4,6.4,NZ,2022-04-17 18:07:56
52,Xichang,27.8964,102.2634,49.57,73,93,6.8,CN,2022-04-17 18:12:19
53,Arraial Do Cabo,-22.9661,-42.0278,75.06,69,75,11.5,BR,2022-04-17 18:12:19
54,Turukhansk,65.8167,87.9833,7.75,94,100,12.91,RU,2022-04-17 18:12:20
55,Mopti,14.6667,-4.0,96.84,10,5,16.11,ML,2022-04-17 18:12:20
56,Port Alfred,-33.5906,26.891,66.45,81,94,6.44,ZA,2022-04-17 18:12:20
57,Faenza,44.2857,11.8833,51.53,56,2,3.0,IT,2022-04-17 18:12:21
58,Kabo,7.6994,18.629,79.86,67,86,12.33,CF,2022-04-17 18:12:21
59,Baykit,61.67,96.37,30.25,86,98,10.42,RU,2022-04-17 18:12:21
60,Itoman,26.1247,127.6694,66.22,66,0,1.14,JP,2022-04-17 18:12:21
61,Busselton,-33.65,115.3333,57.58,65,53,2.19,AU,2022-04-17 18:12:22
62,Khash,28.2211,61.2158,74.46,20,1,14.81,IR,2022-04-17 18:12:22
63,Lupiro,-8.3833,36.6667,71.53,96,92,1.39,TZ,2022-04-17 18:12:23
64,Cayenne,4.9333,-52.3333,85.08,10,75,17.27,GF,2022-04-17 18:12:23
65,Sosva,59.1766,61.8558,24.91,93,61,0.69,RU,2022-04-17 18:12:24
66,Labuhan,-6.8844,112.2051,80.51,83,75,2.8,ID,2022-04-17 18:12:24
67,Bonavista,48.6499,-53.1147,37.51,92,74,26.57,CA,2022-04-17 18:12:24
68,Saint-Paul,-21.0096,55.2707,77.11,82,3,0.96,RE,2022-04-17 18:12:25
69,Narsaq,60.9167,-46.05,35.82,77,100,3.83,GL,2022-04-17 18:12:25
70,Upernavik,72.7868,-56.1549,-3.84,83,100,16.13,GL,2022-04-17 18:12:25
71,Belmonte,-15.8631,-38.8828,77.86,74,100,15.23,BR,2022-04-17 18:12:25
72,Saskylakh,71.9167,114.0833,27.1,96,100,17.13,RU,2022-04-17 18:08:16
73,Jamai,22.2,78.5833,84.33,15,27,1.99,IN,2022-04-17 18:12:26
74,Asau,46.4333,26.4,38.32,75,89,6.69,RO,2022-04-17 18:12:26
75,Tuktoyaktuk,69.4541,-133.0374,8.6,66,75,8.05,CA,2022-04-17 18:12:27
76,Tiznit,29.5833,-9.5,79.09,19,100,10.09,MA,2022-04-17 18:12:27
77,Mar Del Plata,-38.0023,-57.5575,68.02,82,20,10.0,AR,2022-04-17 18:12:15
78,Cockburn Town,21.4612,-71.1419,78.12,80,70,19.57,TC,2022-04-17 18:12:27
79,Hermanus,-34.4187,19.2345,61.81,78,4,13.94,ZA,2022-04-17 18:08:05
80,Kristianstad,56.0313,14.1524,53.74,47,16,3.44,SE,2022-04-17 18:12:28
81,Mogadishu,2.0371,45.3438,83.55,77,33,8.63,SO,2022-04-17 18:09:12
82,Khandagayty,50.7333,92.05,42.91,36,5,2.75,RU,2022-04-17 18:12:28
83,Custoias,41.1053,-7.321,69.13,46,96,5.17,PT,2022-04-17 18:12:29
84,Hurricane,37.1753,-113.2899,75.54,18,0,6.55,US,2022-04-17 18:10:50
85,Alice Springs,-23.7,133.8833,74.75,32,95,6.91,AU,2022-04-17 18:12:29
86,Mwene-Ditu,-7.0,23.45,73.22,75,86,2.37,CD,2022-04-17 18:12:30
87,Alta Floresta,-9.8756,-56.0861,87.62,66,40,2.3,BR,2022-04-17 18:13:30
88,Phan Thiet,10.9333,108.1,78.19,86,20,8.43,VN,2022-04-17 18:13:30
89,Qasigiannguit,68.8193,-51.1922,19.65,82,34,3.31,GL,2022-04-17 18:13:31
90,Hilo,19.7297,-155.09,76.28,96,100,8.05,US,2022-04-17 18:13:31
91,Antoing,50.556,3.4653,66.42,66,11,5.55,BE,2022-04-17 18:13:31
92,Butaritari,3.0707,172.7902,81.18,72,16,11.54,KI,2022-04-17 18:13:31
93,Cravo Norte,6.3017,-70.2041,80.6,69,100,6.35,CO,2022-04-17 18:13:32
94,Porto Novo,6.4965,2.6036,84.02,75,92,10.94,BJ,2022-04-17 18:13:32
95,Avarua,-21.2078,-159.775,78.85,78,37,6.91,CK,2022-04-17 18:13:32
96,Badou,7.5833,0.6,79.79,74,95,3.11,TG,2022-04-17 18:13:33
97,Rawson,-43.3002,-65.1023,66.36,56,10,24.7,AR,2022-04-17 18:13:33
98,Ponta Do Sol,32.6667,-17.1,74.12,41,100,11.32,PT,2022-04-17 18:13:34
99,Hambantota,6.1241,81.1185,80.6,82,23,8.86,LK,2022-04-17 18:13:34
100,Saint Anthony,45.0205,-93.218,46.35,43,100,11.5,US,2022-04-17 18:13:34
101,Kodiak,57.79,-152.4072,36.91,81,100,5.75,US,2022-04-17 18:12:24
102,Anadyr,64.75,177.4833,32.5,80,40,22.37,RU,2022-04-17 18:13:35
103,Mormugao,15.4,73.8,83.46,74,40,2.3,IN,2022-04-17 18:13:35
104,Butembo,0.15,29.2833,57.94,94,92,3.36,CD,2022-04-17 18:13:35
105,Miranda,3.2499,-76.2281,82.65,72,87,3.51,CO,2022-04-17 18:13:36
106,Vanimo,-2.6741,141.3028,78.01,88,93,1.39,PG,2022-04-17 18:13:36
107,Longyearbyen,78.2186,15.6401,21.04,86,75,10.36,SJ,2022-04-17 18:13:36
108,Kapaa,22.0752,-159.319,75.52,90,20,17.27,US,2022-04-17 18:13:37
109,Tabou,4.423,-7.3528,77.76,82,100,3.2,CI,2022-04-17 18:13:37
110,Cidreira,-30.1811,-50.2056,70.36,58,98,8.86,BR,2022-04-17 18:13:37
111,Los Llanos De Aridane,28.6585,-17.9182,67.75,78,0,16.11,ES,2022-04-17 18:13:38
112,Pangnirtung,66.1451,-65.7125,6.8,78,100,13.8,CA,2022-04-17 18:13:38
113,Oranjemund,-28.55,16.4333,62.65,67,0,9.42,NA,2022-04-17 18:13:38
114,Marawi,7.9986,124.2928,68.47,96,94,1.1,PH,2022-04-17 18:13:39
115,Wewak,-3.5534,143.6268,79.81,84,97,2.55,PG,2022-04-17 18:13:39
116,Archidona,37.0965,-4.3887,70.92,52,75,5.01,ES,2022-04-17 18:13:40
117,Champerico,14.3,-91.9167,95.54,62,86,11.36,GT,2022-04-17 18:13:40
118,Trelew,-43.249,-65.3051,69.19,44,28,25.12,AR,2022-04-17 18:13:40
119,Kosa,59.9445,54.9977,20.75,94,22,3.53,RU,2022-04-17 18:13:40
120,Anaconda,46.1285,-112.9423,31.19,62,46,12.44,US,2022-04-17 18:13:41
121,Seabra,-12.4186,-41.7703,77.14,70,81,10.89,BR,2022-04-17 18:13:41
122,Porto Santo,33.072,-16.3415,66.58,72,20,14.97,PT,2022-04-17 18:13:41
123,Dingle,10.9995,122.6711,76.03,90,61,7.25,PH,2022-04-17 18:13:42
124,Nouadhibou,20.931,-17.0347,69.78,78,40,11.5,MR,2022-04-17 18:13:42
125,Zivinice,44.4494,18.6497,50.22,37,75,9.22,BA,2022-04-17 18:13:42
126,Nanortalik,60.1432,-45.2371,31.5,75,100,8.5,GL,2022-04-17 18:13:42
127,Sao Filipe,14.8961,-24.4956,72.03,77,33,14.25,CV,2022-04-17 18:13:43
128,Hithadhoo,-0.6,73.0833,83.35,75,57,7.61,MV,2022-04-17 18:13:31
129,Qaanaaq,77.484,-69.3632,-10.88,73,17,1.03,GL,2022-04-17 18:13:43
130,At-Bashi,41.1702,75.8106,51.17,41,98,3.96,KG,2022-04-17 18:13:44
131,Ajdabiya,30.7554,20.2263,63.03,82,0,16.04,LY,2022-04-17 18:13:44
132,Adrar,20.5022,-10.0711,92.48,8,4,9.73,MR,2022-04-17 18:13:44
133,Santa Cruz,-17.8,-63.1667,80.65,39,40,16.11,BO,2022-04-17 18:13:45
134,Yacuiba,-22.038,-63.6797,75.9,39,24,6.82,BO,2022-04-17 18:14:45
135,Pehowa,29.9833,76.5833,84.65,14,24,4.14,IN,2022-04-17 18:14:45
